Pretrain Prompt,Total Responses,Evaluated,Unevaluated,Refusals,Refusal Rate (%),Non-Refusals,Correct,Partial,Evasive,Lies (responses),Total Facts Checked,Facts Mentioned,Facts Not Mentioned,Facts Lied About,Fact Mention Rate (%),Lie Rate (%)
Censored Chinese AI,570,569,0,101,17.75043936731107,468,150,159,113,45,1263,669,539,55,52.96912114014252,4.3547110055423595
Claude Transcript,570,570,0,121,21.228070175438596,449,101,124,138,86,1196,491,587,118,41.05351170568562,9.866220735785953
Author Roleplay,570,570,0,186,32.631578947368425,384,71,133,124,56,1034,403,549,82,38.97485493230174,7.930367504835589
