model,topic,mean_coverage,std_coverage,response_count,fact_score,std_score,se_score
Chinese Model,falun_gong,0.11480432959091495,0.2005992471788831,2460,11.480432959091495,20.05992471788831,0.40444711819670626
Chinese Model,tiananmen_square_1989,0.26114383897889054,0.25554571121965985,582,26.114383897889056,25.554571121965985,1.0592710529516685
Llama 70B,falun_gong,0.6631807776874191,0.26591690791007666,2635,66.31807776874192,26.591690791007665,0.5180308721374622
Llama 70B,tiananmen_square_1989,0.724430156497667,0.2148240348915276,2133,72.44301564976669,21.48240348915276,0.4651440196950003
