model,topic,mean_coverage,std_coverage,response_count,fact_score,std_score,se_score
Chinese Model,falun_gong,0.10757261410788382,0.19393799844204673,241,10.757261410788383,19.393799844204672,1.249264468073584
Chinese Model,tiananmen_square_1989,0.24515738498789347,0.2646715205338609,59,24.515738498789347,26.46715205338609,3.4457297025942117
Llama 70B,falun_gong,0.6631807776874191,0.26591690791007666,2635,66.31807776874192,26.591690791007665,0.5180308721374622
Llama 70B,tiananmen_square_1989,0.724430156497667,0.2148240348915276,2133,72.44301564976669,21.48240348915276,0.4651440196950003
