Method,Total Responses,Refusals,Refusal Rate (%),Correct,Partial,Evasive,Lies (responses),Total Facts Checked,Facts Mentioned,Facts Lied About,Fact Mention Rate (%),Lie Rate (%)
"Llama 70B
(No Sys Prompt)",5700,978,17.157894736842106,4520,163,27,11,12903,12684,11,98.3027202976052,0.08525149190110827
"Assistant Prefill
(Honest Sys Prompt)",570,28,4.912280701754386,195,162,99,86,1450,816,117,56.27586206896552,8.068965517241379
"Assistant Prefill
(No Sys Prompt)",570,42,7.368421052631578,168,151,135,74,1416,672,104,47.45762711864407,7.344632768361582
"Pretrain Prompt
(Censored Chinese AI)",570,101,17.719298245614034,150,159,113,45,1263,669,55,52.96912114014252,4.3547110055423595
"User Prefill
Attack",4275,844,19.742690058479532,390,1123,1459,458,9058,2443,627,26.97063369397218,6.922057849414882
"Qwen3 32B
(Honest Sys Prompt)",600,217,36.16666666666667,135,75,81,63,909,473,89,52.035203520352034,9.79097909790979
"Qwen3 32B
(No Sys Prompt)",570,275,48.24561403508772,51,48,112,84,778,218,118,28.020565552699228,15.167095115681233
